icd_code,condition_group
249,Diabetes
2490,Diabetes
24900,Diabetes
24901,Diabetes
2491,Diabetes
24910,Diabetes
24911,Diabetes
2492,Diabetes
24920,Diabetes
24921,Diabetes
2493,Diabetes
24930,Diabetes
24931,Diabetes
2494,Diabetes
24940,Diabetes
24941,Diabetes
2495,Diabetes
24950,Diabetes
24951,Diabetes
2496,Diabetes
24960,Diabetes
24961,Diabetes
2497,Diabetes
24970,Diabetes
24971,Diabetes
2498,Diabetes
24980,Diabetes
24981,Diabetes
2499,Diabetes
24990,Diabetes
24991,Diabetes
250,Diabetes
2500,Diabetes
25000,Diabetes
25001,Diabetes
25002,Diabetes
25003,Diabetes
2501,Diabetes
25010,Diabetes
25011,Diabetes
25012,Diabetes
25013,Diabetes
2502,Diabetes
25020,Diabetes
25021,Diabetes
25022,Diabetes
25023,Diabetes
2503,Diabetes
25030,Diabetes
25031,Diabetes
25032,Diabetes
25033,Diabetes
2504,Diabetes
25040,Diabetes
25041,Diabetes
25042,Diabetes
25043,Diabetes
2505,Diabetes
25050,Diabetes
25051,Diabetes
25052,Diabetes
25053,Diabetes
2506,Diabetes
25060,Diabetes
25061,Diabetes
25062,Diabetes
25063,Diabetes
2507,Diabetes
25070,Diabetes
25071,Diabetes
25072,Diabetes
25073,Diabetes
2508,Diabetes
25080,Diabetes
25081,Diabetes
25082,Diabetes
25083,Diabetes
2509,Diabetes
25090,Diabetes
25091,Diabetes
25092,Diabetes
25093,Diabetes
27800,Obesity
27801,Obesity
27802,Obesity
2920,MH6
29211,MH6
29212,MH6
2922,MH6
296,MH6
2960,MH6
29600,MH6
29601,MH6
29602,MH6
29603,MH6
29604,MH6
29605,MH6
29606,MH6
2961,MH6
29610,MH6
29611,MH6
29612,MH6
29613,MH6
29614,MH6
29615,MH6
29616,MH6
2962,MH6
29620,MH6
29621,MH6
29622,MH6
29623,MH6
29624,MH6
29625,MH6
29626,MH6
2963,MH6
29630,MH6
29631,MH6
29632,MH6
29633,MH6
29634,MH6
29635,MH6
29636,MH6
2964,MH6
29640,MH6
29641,MH6
29642,MH6
29643,MH6
29644,MH6
29645,MH6
29646,MH6
2965,MH6
29650,MH6
29651,MH6
29652,MH6
29653,MH6
29654,MH6
29655,MH6
29656,MH6
2966,MH6
29660,MH6
29661,MH6
29662,MH6
29663,MH6
29664,MH6
29665,MH6
29666,MH6
2967,MH6
2968,MH6
29680,MH6
29681,MH6
29682,MH6
29689,MH6
2969,MH6
29690,MH6
29699,MH6
2980,MH6
300,MH6
30000,MH6
30001,MH6
30002,MH6
30009,MH6
3004,MH6
304,MH6
30400,MH6
30401,MH6
30402,MH6
3041,MH6
30410,MH6
30411,MH6
30412,MH6
3042,MH6
30420,MH6
30421,MH6
30422,MH6
3043,MH6
30430,MH6
30431,MH6
30432,MH6
3044,MH6
30440,MH6
30441,MH6
30442,MH6
3045,MH6
30450,MH6
30451,MH6
30452,MH6
3046,MH6
30460,MH6
30461,MH6
30462,MH6
30470,MH6
30471,MH6
30472,MH6
30480,MH6
30481,MH6
30482,MH6
3049,MH6
30490,MH6
30491,MH6
30492,MH6
305,MH6
30500,MH6
30501,MH6
30502,MH6
3051,MH6
3052,MH6
30520,MH6
30521,MH6
30522,MH6
3053,MH6
30530,MH6
30531,MH6
30532,MH6
3054,MH6
30540,MH6
30541,MH6
30542,MH6
3055,MH6
30550,MH6
30551,MH6
30552,MH6
3056,MH6
30560,MH6
30561,MH6
30562,MH6
3057,MH6
30570,MH6
30571,MH6
30572,MH6
30580,MH6
30581,MH6
30582,MH6
3059,MH6
30590,MH6
30591,MH6
30592,MH6
3071,MH6
3075,MH6
30750,MH6
30751,MH6
30752,MH6
30753,MH6
30754,MH6
3090,MH6
3091,MH6
30981,MH6
311,MH6
34989,Diabetes
3499,Diabetes
3535,Diabetes
3559,Diabetes
3572,Diabetes
3620,Diabetes
36201,Diabetes
36202,Diabetes
36203,Diabetes
36204,Diabetes
36205,Diabetes
36206,Diabetes
36207,Diabetes
36641,Diabetes
39891,Congestive Heart Failure
401,Hypertension
4010,Hypertension
4011,Hypertension
4019,Hypertension
402,Hypertension
4020,Hypertension
40200,Hypertension
40201,Congestive Heart Failure
4021,Hypertension
40210,Hypertension
40211,Congestive Heart Failure
4029,Hypertension
40290,Hypertension
40291,Congestive Heart Failure
403,Hypertension
4030,Hypertension
40300,Hypertension
4031,Hypertension
40310,Hypertension
4039,Hypertension
40390,Hypertension
404,Hypertension
4040,Hypertension
40400,Hypertension
40401,Congestive Heart Failure
40403,Congestive Heart Failure
4041,Hypertension
40410,Hypertension
40411,Congestive Heart Failure
40413,Congestive Heart Failure
4049,Hypertension
40490,Hypertension
40491,Congestive Heart Failure
40493,Congestive Heart Failure
405,Hypertension
4050,Hypertension
40501,Hypertension
40509,Hypertension
4051,Hypertension
40511,Hypertension
40519,Hypertension
4059,Hypertension
40591,Hypertension
40599,Hypertension
410,CAD
4100,CAD
41000,CAD
41001,CAD
41002,CAD
4101,CAD
41010,CAD
41011,CAD
41012,CAD
4102,CAD
41020,CAD
41021,CAD
41022,CAD
4103,CAD
41030,CAD
41031,CAD
41032,CAD
4104,CAD
41040,CAD
41041,CAD
41042,CAD
4105,CAD
41050,CAD
41051,CAD
41052,CAD
4106,CAD
41060,CAD
41061,CAD
41062,CAD
4107,CAD
41070,CAD
41071,CAD
41072,CAD
4108,CAD
41080,CAD
41081,CAD
41082,CAD
4109,CAD
41090,CAD
41091,CAD
41092,CAD
411,CAD
4110,CAD
4111,CAD
4118,CAD
41181,CAD
41189,CAD
412,CAD
413,CAD
4130,CAD
4131,CAD
4139,CAD
414,CAD
4140,CAD
41400,CAD
41401,CAD
41402,CAD
41403,CAD
41404,CAD
41405,CAD
41406,CAD
41407,CAD
4141,CAD
41410,CAD
41411,CAD
41412,CAD
41419,CAD
4142,CAD
4143,CAD
4144,CAD
4148,CAD
4149,CAD
428,Congestive Heart Failure
4280,Congestive Heart Failure
4281,Congestive Heart Failure
4282,Congestive Heart Failure
42820,Congestive Heart Failure
42821,Congestive Heart Failure
42822,Congestive Heart Failure
42823,Congestive Heart Failure
4283,Congestive Heart Failure
42830,Congestive Heart Failure
42831,Congestive Heart Failure
42832,Congestive Heart Failure
42833,Congestive Heart Failure
4284,Congestive Heart Failure
42840,Congestive Heart Failure
42841,Congestive Heart Failure
42842,Congestive Heart Failure
42843,Congestive Heart Failure
4289,Congestive Heart Failure
4292,CAD
4297,CAD
4372,Hypertension
44381,Diabetes
4911,COPD
4912,COPD
49120,COPD
49121,COPD
49122,COPD
4918,COPD
4919,COPD
492,COPD
4920,COPD
4928,COPD
493,Asthma
4930,Asthma
49300,Asthma
49301,Asthma
49302,Asthma
4931,Asthma
49310,Asthma
49311,Asthma
49312,Asthma
4932,COPD
49320,COPD
49321,COPD
49322,COPD
4938,Asthma
49381,Asthma
49382,Asthma
4939,Asthma
49390,Asthma
49391,Asthma
49392,Asthma
496,COPD
5064,COPD
5181,COPD
5238,Diabetes
5289,Diabetes
5363,Diabetes
58181,Diabetes
58381,Diabetes
7093,Diabetes
7098,Diabetes
7135,Diabetes
71640,Diabetes
71680,Diabetes
7200,Back and Neck Pain
7220,Back and Neck Pain
72210,Back and Neck Pain
72211,Back and Neck Pain
7222,Back and Neck Pain
72230,Back and Neck Pain
72231,Back and Neck Pain
72232,Back and Neck Pain
72239,Back and Neck Pain
7224,Back and Neck Pain
72251,Back and Neck Pain
72252,Back and Neck Pain
7226,Back and Neck Pain
72270,Back and Neck Pain
72271,Back and Neck Pain
72272,Back and Neck Pain
72273,Back and Neck Pain
72280,Back and Neck Pain
72281,Back and Neck Pain
72282,Back and Neck Pain
72283,Back and Neck Pain
72290,Back and Neck Pain
72291,Back and Neck Pain
72292,Back and Neck Pain
72293,Back and Neck Pain
723,Back and Neck Pain
7230,Back and Neck Pain
7231,Back and Neck Pain
7232,Back and Neck Pain
7233,Back and Neck Pain
7234,Back and Neck Pain
7235,Back and Neck Pain
7236,Back and Neck Pain
7237,Back and Neck Pain
7238,Back and Neck Pain
7239,Back and Neck Pain
724,Back and Neck Pain
7240,Back and Neck Pain
72400,Back and Neck Pain
72401,Back and Neck Pain
72402,Back and Neck Pain
72409,Back and Neck Pain
7241,Back and Neck Pain
7242,Back and Neck Pain
7243,Back and Neck Pain
7244,Back and Neck Pain
7245,Back and Neck Pain
7246,Back and Neck Pain
7247,Back and Neck Pain
72470,Back and Neck Pain
72471,Back and Neck Pain
72479,Back and Neck Pain
7248,Back and Neck Pain
7249,Back and Neck Pain
72789,Back and Neck Pain
7292,Back and Neck Pain
73740,Back and Neck Pain
7378,Back and Neck Pain
7379,Back and Neck Pain
7384,Back and Neck Pain
7391,Back and Neck Pain
7393,Back and Neck Pain
7394,Back and Neck Pain
75612,Back and Neck Pain
783,MH6
7830,MH6
7831,MH6
7832,MH6
78321,MH6
78322,MH6
7854,Diabetes
8460,Back and Neck Pain
8470,Back and Neck Pain
8472,Back and Neck Pain
8473,Back and Neck Pain
8474,Back and Neck Pain
8479,Back and Neck Pain
8485,Back and Neck Pain
E0801   ,Diabetes
E0810   ,Diabetes
E0811   ,Diabetes
E0821   ,Diabetes
E08311  ,Diabetes
E08319  ,Diabetes
E0836   ,Diabetes
E0837X1 ,Diabetes
E0837X2 ,Diabetes
E0837X3 ,Diabetes
E0837X9 ,Diabetes
E0839   ,Diabetes
E0840   ,Diabetes
E0841   ,Diabetes
E0842   ,Diabetes
E0843   ,Diabetes
E0844   ,Diabetes
E0849   ,Diabetes
E0851   ,Diabetes
E08610  ,Diabetes
E08618  ,Diabetes
E08620  ,Diabetes
E08621  ,Diabetes
E08622  ,Diabetes
E08628  ,Diabetes
E08630  ,Diabetes
E08638  ,Diabetes
E08641  ,Diabetes
E0865   ,Diabetes
E0869   ,Diabetes
E088    ,Diabetes
E089    ,Diabetes
E0901   ,Diabetes
E0910   ,Diabetes
E0911   ,Diabetes
E0921   ,Diabetes
E09311  ,Diabetes
E09319  ,Diabetes
E0936   ,Diabetes
E0937X1 ,Diabetes
E0937X2 ,Diabetes
E0937X3 ,Diabetes
E0937X9 ,Diabetes
E0939   ,Diabetes
E0940   ,Diabetes
E0941   ,Diabetes
E0942   ,Diabetes
E0943   ,Diabetes
E0944   ,Diabetes
E0949   ,Diabetes
E0951   ,Diabetes
E09610  ,Diabetes
E09618  ,Diabetes
E09620  ,Diabetes
E09621  ,Diabetes
E09622  ,Diabetes
E09628  ,Diabetes
E09630  ,Diabetes
E09638  ,Diabetes
E09641  ,Diabetes
E09649  ,Diabetes
E0965   ,Diabetes
E0969   ,Diabetes
E098    ,Diabetes
E099    ,Diabetes
E1010,Diabetes
E1011,Diabetes
E1021,Diabetes
E1022,Diabetes
E1029,Diabetes
E10311,Diabetes
E10319,Diabetes
E10321,Diabetes
E10329,Diabetes
E10331,Diabetes
E10339,Diabetes
E10341,Diabetes
E10349,Diabetes
E10351,Diabetes
E10359,Diabetes
E1036,Diabetes
E1039,Diabetes
E1040,Diabetes
E1041,Diabetes
E1042,Diabetes
E1043,Diabetes
E1044,Diabetes
E1049,Diabetes
E1051,Diabetes
E1052,Diabetes
E1059,Diabetes
E10610,Diabetes
E10618,Diabetes
E10620,Diabetes
E10621,Diabetes
E10622,Diabetes
E10628,Diabetes
E10630,Diabetes
E10638,Diabetes
E10641,Diabetes
E10649,Diabetes
E1065,Diabetes
E1069,Diabetes
E108,Diabetes
E109,Diabetes
E11,Diabetes
E110,Diabetes
E1100,Diabetes
E1101,Diabetes
E1110   ,Diabetes
E1111   ,Diabetes
E112,Diabetes
E1121,Diabetes
E1122,Diabetes
E1129,Diabetes
E113,Diabetes
E1131,Diabetes
E11311,Diabetes
E11319,Diabetes
E1132,Diabetes
E11321,Diabetes
E11329,Diabetes
E1133,Diabetes
E11331,Diabetes
E11339,Diabetes
E1134,Diabetes
E11341,Diabetes
E11349,Diabetes
E1135,Diabetes
E11351,Diabetes
E11359,Diabetes
E1136,Diabetes
E1139,Diabetes
E114,Diabetes
E1140,Diabetes
E1141,Diabetes
E1142,Diabetes
E1143,Diabetes
E1144,Diabetes
E1149,Diabetes
E115,Diabetes
E1151,Diabetes
E1152,Diabetes
E1159,Diabetes
E116,Diabetes
E1161,Diabetes
E11610,Diabetes
E11618,Diabetes
E1162,Diabetes
E11620,Diabetes
E11621,Diabetes
E11622,Diabetes
E11628,Diabetes
E1163,Diabetes
E11630,Diabetes
E11638,Diabetes
E1164,Diabetes
E11641,Diabetes
E11649,Diabetes
E1165,Diabetes
E1169,Diabetes
E118,Diabetes
E119,Diabetes
E13,Diabetes
E130,Diabetes
E1300,Diabetes
E1301,Diabetes
E131,Diabetes
E1310,Diabetes
E1311,Diabetes
E132,Diabetes
E1321,Diabetes
E1322,Diabetes
E1329,Diabetes
E133,Diabetes
E1331,Diabetes
E13311,Diabetes
E13319,Diabetes
E1332,Diabetes
E13321,Diabetes
E13329,Diabetes
E1333,Diabetes
E13331,Diabetes
E13339,Diabetes
E1334,Diabetes
E13341,Diabetes
E13349,Diabetes
E1335,Diabetes
E13351,Diabetes
E13359,Diabetes
E1336,Diabetes
E1339,Diabetes
E134,Diabetes
E1340,Diabetes
E1341,Diabetes
E1342,Diabetes
E1343,Diabetes
E1344,Diabetes
E1349,Diabetes
E135,Diabetes
E1351,Diabetes
E1352,Diabetes
E1359,Diabetes
E136,Diabetes
E1361,Diabetes
E13610,Diabetes
E13618,Diabetes
E1362,Diabetes
E13620,Diabetes
E13621,Diabetes
E13622,Diabetes
E13628,Diabetes
E1363,Diabetes
E13630,Diabetes
E13638,Diabetes
E1364,Diabetes
E13641,Diabetes
E13649,Diabetes
E1365,Diabetes
E1369,Diabetes
E138,Diabetes
E139,Diabetes
E66,Obesity
E660,Obesity
E6601,Obesity
E6609,Obesity
E661,Obesity
E662,Obesity
E663,Obesity
E668,Obesity
E669,Obesity
F0631,MH6
F0632,MH6
F111,MH6
F1110,MH6
F1112,MH6
F11120,MH6
F11121,MH6
F11122,MH6
F11129,MH6
F1114,MH6
F1115,MH6
F11150,MH6
F11151,MH6
F11159,MH6
F1118,MH6
